"categoria","unidade","arquivo_original","formato_original","largura_original","altura_original","bytes_antes","arquivos_finais","bytes_finais","largura_final","altura_final"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.48.jpeg","jpeg","1200","1600","371319","assets/images/units/serra/serra-10-480.webp | assets/images/units/serra/serra-10-960.webp","99726","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.35.34.jpeg","jpeg","1200","1600","173458","assets/images/units/serra/serra-11-480.webp | assets/images/units/serra/serra-11-960.webp","99486","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.35.35.jpeg","jpeg","1200","1600","158528","assets/images/units/serra/serra-12-480.webp | assets/images/units/serra/serra-12-960.webp","85682","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.35.37.jpeg","jpeg","868","1156","103688","assets/images/units/serra/serra-13-480.webp | assets/images/units/serra/serra-13-960.webp","117888","868","1156"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.35.38.jpeg","jpeg","1600","1200","171590","assets/images/units/serra/serra-14-480.webp | assets/images/units/serra/serra-14-960.webp","63132","960","720"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.35.39 (1).jpeg","jpeg","1600","1200","191065","assets/images/units/serra/serra-15-480.webp | assets/images/units/serra/serra-15-960.webp","74838","960","720"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 04.59.19.mp4","mp4","1280","720","3509687","assets/videos/units/serra/serra-video-01.mp4 | assets/videos/units/serra/serra-video-01-poster.webp","3551935","1280","720"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 04.59.20.mp4","mp4","720","1280","6008287","assets/videos/units/serra/serra-video-02.mp4 | assets/videos/units/serra/serra-video-02-poster.webp","6059931","720","1280"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 05.34.53.mp4","mp4","720","1280","3623565","assets/videos/units/serra/serra-video-03.mp4 | assets/videos/units/serra/serra-video-03-poster.webp","3660799","720","1280"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 05.34.57.mp4","mp4","720","1280","10170431","assets/videos/units/serra/serra-video-04.mp4 | assets/videos/units/serra/serra-video-04-poster.webp","10214929","720","1280"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 05.34.58.mp4","mp4","720","1280","10505547","assets/videos/units/serra/serra-video-05.mp4 | assets/videos/units/serra/serra-video-05-poster.webp","10542481","720","1280"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 05.35.34.mp4","mp4","720","1280","71293127","assets/videos/units/serra/serra-video-06.mp4 | assets/videos/units/serra/serra-video-06-poster.webp","38486428","720","1280"
"v?deo de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Video 2026-04-02 at 05.35.36.mp4","mp4","720","1280","3291346","assets/videos/units/serra/serra-video-07.mp4 | assets/videos/units/serra/serra-video-07-poster.webp","3343412","720","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 11.47.12.jpeg","jpeg","1075","628","82113","assets/images/units/vila-velha/vila-velha-01-480.webp | assets/images/units/vila-velha/vila-velha-01-960.webp","66094","960","561"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 11.47.121.jpeg","jpeg","1200","1600","208808","assets/images/units/vila-velha/vila-velha-02-480.webp | assets/images/units/vila-velha/vila-velha-02-960.webp","132848","960","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.51 (1).jpeg","jpeg","1600","1200","234038","assets/images/units/vila-velha/vila-velha-03-480.webp | assets/images/units/vila-velha/vila-velha-03-960.webp","103654","960","720"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.51 (2).jpeg","jpeg","1200","1600","164024","assets/images/units/vila-velha/vila-velha-04-480.webp | assets/images/units/vila-velha/vila-velha-04-960.webp","100840","960","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.51 (3).jpeg","jpeg","1200","1600","168345","assets/images/units/vila-velha/vila-velha-05-480.webp | assets/images/units/vila-velha/vila-velha-05-960.webp","105096","960","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.51 (4).jpeg","jpeg","1280","960","115442","assets/images/units/vila-velha/vila-velha-06-480.webp | assets/images/units/vila-velha/vila-velha-06-960.webp","71804","960","720"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.51.jpeg","jpeg","960","1280","108342","assets/images/units/vila-velha/vila-velha-07-480.webp | assets/images/units/vila-velha/vila-velha-07-960.webp","116828","960","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.52 (1).jpeg","jpeg","1280","960","113059","assets/images/units/vila-velha/vila-velha-08-480.webp | assets/images/units/vila-velha/vila-velha-08-960.webp","72492","960","720"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.52 (2).jpeg","jpeg","1200","1600","195374","assets/images/units/vila-velha/vila-velha-09-480.webp | assets/images/units/vila-velha/vila-velha-09-960.webp","97792","960","1280"
"foto de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Image 2026-04-07 at 20.05.52.jpeg","jpeg","1280","960","130199","assets/images/units/vila-velha/vila-velha-10-480.webp | assets/images/units/vila-velha/vila-velha-10-960.webp","85842","960","720"
"v?deo de unidade","Vila Velha","[diretorio-original]/Polo Vila Velha/WhatsApp Video 2026-04-07 at 20.05.52.mp4","mp4","720","1280","7349373","assets/videos/units/vila-velha/vila-velha-video-01.mp4 | assets/videos/units/vila-velha/vila-velha-video-01-poster.webp","7448139","720","1280"
"imagem geral","","[diretorio-original]/Programador completo.png","png","1536","1024","2455860","assets/images/courses/curso-programador-completo.webp","69044","960","640"
"imagem geral","","[diretorio-original]/Programador de games.png","png","1536","1024","2355517","assets/images/courses/curso-programador-games.webp","99156","960","640"
"imagem geral","","[diretorio-original]/Responsividade.png","png","1402","1122","1545449","docs/visual-ponto-com-preview.webp | assets/images/social/visual-ponto-com-social.webp","146112","1200","960"
"imagem geral","","[diretorio-original]/Sobre.jpeg","jpeg","1600","1200","332531","assets/images/institutional/sobre-visual-ponto-com.webp","166316","1200","900"
"imagem geral","","[diretorio-original]/Unimar.jpg","jpg","1200","676","54143","assets/images/institutional/polo-universidade-ead.webp","15758","1200","676"
"imagem geral","","[diretorio-original]/whatsapp.png","png","512","512","30559","assets/icons/whatsapp.png","3911","64","64"
